timestamp,open,high,low,close
2007-06-28,656.49,657.22,655.51,657.13
2007-06-27,653.03,653.88,649.64,652.76
2007-06-26,657.21,659.35,655.93,655.93
2007-06-25,655.18,659.14,652.76,658.84
2007-06-22,658.2,659.2,656.63,656.74
2007-06-21,659.73,661.84,656.39,659.6
2007-06-20,668.04,669.26,664.76,664.93
2007-06-19,669.53,669.9,665.02,665.02
2007-06-18,673.16,673.92,669.68,670.35
2007-06-15,669.1,673.42,667.63,673.24
2007-06-14,661.19,665.43,659.6,664.99
2007-06-13,652.05,656.73,652.05,655.96
2007-06-12,654.48,656.85,651.37,652.04
2007-06-11,654.65,656.75,653.84,656.75
2007-06-08,645.54,651.94,645.35,650.51
2007-06-07,653.83,654.25,647.8,650.51
2007-06-06,656.68,659.03,651.17,652.27
2007-06-05,666.79,666.79,662.57,663.28
2007-06-04,665.06,667.22,664.12,666.41
2007-06-01,663.12,667.67,662.51,667.67
2007-05-31,663.83,664.23,660.82,662.14
2007-05-30,654.11,660.53,653.93,660.21
2007-05-29,659.49,661.34,658.72,660.65
2007-05-25,655.11,657.52,655.09,657.05
2007-05-24,659.62,661.95,656.05,656.54
2007-05-23,663.73,664.38,661.64,661.64
2007-05-22,662.82,663.62,659.46,660.66
2007-05-21,666.36,667.5,663.32,663.68
2007-05-18,661.93,665.63,661.67,664.09
2007-05-17,657.96,658.87,655.36,657.93
2007-05-16,655.87,657.86,654.58,655.95
2007-05-15,653.92,657.9,653.38,656.86
2007-05-14,654.41,656.68,653.03,655.55
2007-05-11,651.58,657.7,651.3,656.57
2007-05-10,653.2,656.51,651.5,652.41
2007-05-09,653.91,656.62,652.9,654.96
2007-05-08,656.15,656.72,653.75,655.04
2007-05-07,660.37,660.37,660.37,660.37
2007-05-04,659.28,661.47,657.92,660.37
2007-05-03,651.53,654.25,651.35,653.78
2007-05-02,645.54,648.9,644.41,648.45
2007-05-01,642.03,642.84,639.63,641.96
2007-04-30,646.09,647.47,644.53,644.92
2007-04-27,644.11,644.58,641.06,641.87
2007-04-26,650.1,651.11,644.37,646.94
2007-04-25,646.23,647.9,643.97,646.19
2007-04-24,643.45,645.3,640.84,642.95
2007-04-23,648.46,649.4,646.61,647.97
2007-04-20,649.7,650.89,648.17,648.68
2007-04-19,641.54,645.18,641.17,644.06
2007-04-18,647.26,647.26,644.08,644.94
2007-04-17,646.73,650.77,646.47,649.78
2007-04-16,649.78,651.62,649.18,651.62
2007-04-13,643.32,646.24,642.91,646.24
2007-04-12,639.29,641.96,637.64,641.64
2007-04-11,643.6,644.59,640.19,641.33
2007-04-10,642.31,643.17,641.07,641.78
2007-04-09,639.73,639.73,639.73,639.73
2007-04-05,637.48,639.87,637.15,639.73
2007-04-04,634.87,636.94,634.73,636.47
2007-04-03,635.04,636.61,633.64,636.61
2007-04-02,632.42,633.03,629.39,631.55
2007-03-30,629.53,632.82,629.32,630.8
2007-03-29,630.14,633.47,629.52,632.42
2007-03-28,629.01,629.52,625.01,626.72
2007-03-27,629.76,631.05,628.46,629.26
2007-03-26,634.98,635.53,627.41,629.19
2007-03-23,633.57,635.04,632.23,633.94
2007-03-22,629.3,632.51,628.63,631.8
2007-03-21,624.77,628.75,624.26,625.68
2007-03-20,618.23,622.03,615.94,622.03
2007-03-19,616.06,620.06,614.16,618.94
2007-03-16,611.14,614.22,609.72,613.06
2007-03-15,609.38,613.32,607.09,613.32
2007-03-14,605.75,608.04,600.07,600.07
2007-03-13,620.07,621.82,616.12,616.12
2007-03-12,625.65,625.7,621.93,623.33
2007-03-09,620.25,625.58,619.74,624.52
2007-03-08,620.92,623.31,620.3,622.77
2007-03-07,612.94,616.76,612.65,615.65
2007-03-06,610.35,613.85,608.87,613.85
2007-03-05,601.53,608.63,600.96,605.87
2007-03-02,609.55,613.41,608.56,611.62
2007-03-01,619.03,619.5,603.89,611.6
2007-02-28,620.84,623.38,617.15,617.15
2007-02-27,632.8,633.2,627.05,628.61
2007-02-26,643.87,644.3,642.76,643.47
2007-02-23,638.25,640.15,637.87,640.15
2007-02-22,639.2,641.6,638.09,638.09
2007-02-21,639.38,639.51,635.21,635.71
2007-02-20,642.5,642.76,639.24,641.23
2007-02-16,642.39,643.11,640.73,641.95
2007-02-15,641.33,643.53,640.7,643.33
2007-02-14,638.19,642.12,638.18,642.12
2007-02-13,636.36,638.18,635.87,638.18
